domain,packet_count,avg_packet_size,dns_count,context,passive_score
batman138oy.com,183,243.14,38,dns_heavy,80.89,80.89
bawue.com,190,280.2,48,dns_heavy,81.84,81.84
be-salt.com,5185,1139.57,57,general,83.98,83.98
beat3put.com,198,303.58,48,dns_heavy,82.37,82.37
beef-casino2.com,10786,1137.16,39,general,86.08,86.08
bellolupo.de,355,188.83,25,general,79.59,79.59
bemo-cuan-org.site,35163,1282.39,63,high_traffic,75.49,75.49
bench731.work,8064,907.06,81,general,90.64,90.64
benefactory.ru,1036,577.75,36,general,88.69,88.69
benkow.cc,43091,1265.41,45,high_traffic,72.45,72.45
beqq.net,12181,1009.11,321,general,92.61,92.61
berg.com,12888,1081.25,195,general,90.08,90.08
bestshopping.com,2218,627.33,33,general,90.24,90.24
bet559.net,5616,946.09,138,general,89.47,89.47
betplay394.com,917,645.86,54,general,90.38,90.38
better-roi.com,547,447.49,36,general,85.58,85.58
beyond-booking.com,728,673.84,66,general,91.08,91.08
bhajanlyrics.com,10965,1127.31,105,general,87.18,87.18
bhaktamar.in,207,278.57,48,dns_heavy,81.81,81.81
biathlonworld.com,3647,735.12,152,general,93.56,93.56
biblissima.fr,1248,513.51,74,general,87.8,87.8
bidonline.my,1543,907.85,87,general,88.05,88.05
bigscal.com,3852,773.7,180,general,93.12,93.12
bikepartsbd.com,9489,1172.86,81,general,85.27,85.27
bikutumutluluk.com,18122,1135.47,155,general,86.79,86.79
bila2cc.com,4555,945.63,123,general,88.87,88.87
bing.com,1002,873.84,40,general,88.02,79.64
bipt.edu.cn,1080,300.2,94,general,83.21,83.21
bit-geek.com,183,271.87,42,dns_heavy,81.58,81.58
bit.ly,2952,960.55,40,general,86.87,79.22
blacktarg.com.br,3507,735.13,217,general,94.29,94.29
blairswesternwear.com,430,379.01,60,general,84.29,84.29
bloodmallet.com,1312,739.6,69,general,91.5,91.5
bloombergsef.com,2014,791.56,79,general,90.75,90.75
bluenet.ch,1239,519.61,84,general,88.06,88.06
bmcdn7.com,12712,1263.25,51,general,84.19,84.19
bobbyfun.tw,1413,466.1,141,general,87.62,87.62
boguanchem.com,4811,1029.64,114,general,86.98,86.98
bokepbox.website,525,376.35,54,general,84.2,84.2
bomba.md,218,273.41,18,general,81.34,81.34
bomeasy.com,35097,1283.71,57,high_traffic,75.42,75.42
bomenbezorgd.nl,4380,869.3,204,general,91.49,91.49
bookmarklinx.com,16000,1255.69,48,general,83.66,83.66
boostmatrix.de,29868,1296.6,53,general,77.19,77.19
bradescoseguros.com.br,8081,1060.98,141,general,87.93,87.93
brakeburn.com,707,538.51,69,general,88.08,88.08
broadbandnepal.com.np,281,322.09,15,general,82.42,82.42
brownells.it,773,459.08,66,general,86.3,86.3
btahosting.com,1073,368.82,100,general,84.81,84.81
btmaxhost.net,3282,956.97,54,general,87.26,87.26
bungananas99oke.online,25096,1221.43,165,general,82.17,82.17
bunn.com,3101,955.95,94,general,87.69,87.69
bwotx.com,1613,592.62,92,general,89.94,89.94
bwsr.eu,3160,1183.24,35,general,81.92,81.92
cajaruraldeasturias.com,862,614.6,51,general,89.62,89.62
calecimprofessional.com,7678,787.65,414,general,94.6,94.6
capt.org.uk,8064,1147.7,81,general,85.26,85.26
caseohgames.com,3259,803.28,156,general,91.92,91.92
casindo.co.id,5704,901.16,48,general,89.41,89.41
casino-en-ligne.info,329,308.55,68,dns_heavy,82.78,82.78
casinomagiconlinebet.top,22226,1249.65,57,general,81.38,81.38
